start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2018-04-28 00:00,6196,2018-04-28 00:32,6328,1923,1
2018-04-28 00:00,6206,2018-04-28 00:11,7038,644,1
2018-04-28 00:00,6418,2018-04-28 00:09,6080,529,1
2018-04-28 00:00,6368,2018-04-28 00:28,6249,1669,1
2018-04-28 00:00,6389,2018-04-28 00:09,6906,505,1
2018-04-28 00:01,6133,2018-04-28 00:09,6177,499,1
2018-04-28 00:01,6204,2018-04-28 00:02,6204,97,1
2018-04-28 00:01,6907,2018-04-28 00:13,6199,715,0
2018-04-28 00:01,6154,2018-04-28 00:13,6371,665,1
2018-04-28 00:02,6224,2018-04-28 00:08,6232,395,1
2018-04-28 00:02,6145,2018-04-28 00:08,6113,382,1
2018-04-28 00:02,6236,2018-04-28 00:07,6136,325,1
2018-04-28 00:02,6727,2018-04-28 00:21,6015,1136,1
2018-04-28 00:02,6230,2018-04-28 00:08,7036,351,1
2018-04-28 00:02,6044,2018-04-28 00:07,6169,281,1
2018-04-28 00:02,6090,2018-04-28 00:03,6096,63,1
2018-04-28 00:02,6707,2018-04-28 00:08,7056,344,1
2018-04-28 00:03,6015,2018-04-28 00:26,6250,1414,0
2018-04-28 00:03,6910,2018-04-28 00:33,6129,1767,1
2018-04-28 00:03,6012,2018-04-28 00:39,6227,2111,1
2018-04-28 00:03,6259,2018-04-28 00:10,6161,390,1
2018-04-28 00:04,6012,2018-04-28 00:38,6227,2090,1
2018-04-28 00:04,6012,2018-04-28 00:12,6171,471,1
2018-04-28 00:04,6259,2018-04-28 00:10,6161,376,1
2018-04-28 00:04,6012,2018-04-28 00:38,6227,2073,1
2018-04-28 00:04,6902,2018-04-28 00:10,6145,355,1
2018-04-28 00:04,6923,2018-04-28 00:13,7008,502,1
2018-04-28 00:04,6158,2018-04-28 00:10,6184,314,1
2018-04-28 00:04,6158,2018-04-28 00:07,6190,134,1
2018-04-28 00:05,6158,2018-04-28 00:09,6184,295,1
2018-04-28 00:05,6176,2018-04-28 00:13,6123,480,0
2018-04-28 00:05,6114,2018-04-28 00:38,7022,2006,0
2018-04-28 00:05,6361,2018-04-28 00:21,6133,934,0
2018-04-28 00:05,6354,2018-04-28 00:29,6064,1395,1
2018-04-28 00:05,6176,2018-04-28 00:07,6044,79,1
2018-04-28 00:05,6100,2018-04-28 00:20,6205,893,1
2018-04-28 00:06,6314,2018-04-28 00:09,6160,226,1
2018-04-28 00:06,6040,2018-04-28 00:18,6052,718,0
2018-04-28 00:06,6206,2018-04-28 00:10,7038,261,0
2018-04-28 00:06,6354,2018-04-28 00:29,6064,1366,1
2018-04-28 00:06,6120,2018-04-28 00:10,7078,257,1
2018-04-28 00:06,6206,2018-04-28 00:10,7038,256,0
2018-04-28 00:06,6262,2018-04-28 00:12,6271,337,1
2018-04-28 00:06,6196,2018-04-28 00:10,6229,229,1
2018-04-28 00:06,6196,2018-04-28 00:10,6229,212,1
2018-04-28 00:06,6206,2018-04-28 00:10,7038,231,0
2018-04-28 00:06,6157,2018-04-28 00:14,6179,470,1
2018-04-28 00:06,6079,2018-04-28 00:15,6100,485,1
2018-04-28 00:06,6336,2018-04-28 00:16,6247,548,0
2018-04-28 00:06,6336,2018-04-28 00:15,6247,530,0
2018-04-28 00:07,6206,2018-04-28 00:10,7038,208,0
2018-04-28 00:07,6903,2018-04-28 00:26,6107,1153,1
2018-04-28 00:07,6211,2018-04-28 00:13,6012,390,1
2018-04-28 00:07,6387,2018-04-28 00:09,6391,123,1
2018-04-28 00:07,6247,2018-04-28 00:13,6344,352,1
2018-04-28 00:07,6129,2018-04-28 00:25,6905,1057,0
2018-04-28 00:07,6903,2018-04-28 00:13,6178,341,1
2018-04-28 00:07,6405,2018-04-28 00:22,6093,880,1
2018-04-28 00:07,6384,2018-04-28 00:16,6372,531,1
2018-04-28 00:08,6157,2018-04-28 00:20,6134,752,1
2018-04-28 00:08,6196,2018-04-28 00:17,6204,534,0
2018-04-28 00:08,6226,2018-04-28 00:27,6374,1143,1
2018-04-28 00:08,6389,2018-04-28 00:12,6336,196,1
2018-04-28 00:09,6040,2018-04-28 00:18,6052,566,0
2018-04-28 00:09,6190,2018-04-28 00:14,6161,329,1
2018-04-28 00:09,6061,2018-04-28 00:17,6411,469,1
2018-04-28 00:09,6927,2018-04-28 00:19,6193,620,1
2018-04-28 00:09,6129,2018-04-28 00:30,4000,1283,1
2018-04-28 00:09,6177,2018-04-28 00:20,6131,677,1
2018-04-28 00:09,6211,2018-04-28 00:25,6137,949,0
2018-04-28 00:09,6177,2018-04-28 00:20,6131,668,1
2018-04-28 00:09,6359,2018-04-28 00:11,6359,106,1
2018-04-28 00:09,6359,2018-04-28 00:20,6113,681,1
2018-04-28 00:09,6268,2018-04-28 00:18,6335,559,1
2018-04-28 00:09,6211,2018-04-28 00:25,6137,924,0
2018-04-28 00:09,6745,2018-04-28 00:13,6072,246,1
2018-04-28 00:09,6929,2018-04-28 00:17,6178,472,0
2018-04-28 00:10,6221,2018-04-28 00:21,6113,646,1
2018-04-28 00:10,6038,2018-04-28 00:44,6707,2057,0
2018-04-28 00:10,6372,2018-04-28 00:24,6188,809,0
2018-04-28 00:10,6152,2018-04-28 00:15,6137,267,1
2018-04-28 00:11,6014,2018-04-28 00:39,6080,1720,1
2018-04-28 00:11,6177,2018-04-28 00:21,6143,634,1
2018-04-28 00:11,6752,2018-04-28 00:30,6926,1128,1
2018-04-28 00:11,6713,2018-04-28 00:31,6703,1171,0
2018-04-28 00:11,6151,2018-04-28 00:27,6391,948,0
2018-04-28 00:11,6713,2018-04-28 00:31,6703,1171,0
2018-04-28 00:11,6151,2018-04-28 00:20,6103,501,0
2018-04-28 00:11,6230,2018-04-28 00:21,6160,600,0
2018-04-28 00:11,6257,2018-04-28 00:24,6307,770,1
2018-04-28 00:11,6204,2018-04-28 00:50,7038,2314,0
2018-04-28 00:11,6151,2018-04-28 00:27,6391,940,0
2018-04-28 00:12,6359,2018-04-28 00:20,6113,534,1
2018-04-28 00:12,6201,2018-04-28 00:17,6193,317,1
2018-04-28 00:12,6221,2018-04-28 00:27,6340,898,1
2018-04-28 00:12,7045,2018-04-28 00:19,6329,426,1
